,v12_signal,v17_signal,calm_bull_trigger,spy_above_trend,spy_momentum_13w,spy_rv_26w,spy_rv_ref_55p,vix,vix_ma_52w,yc_pos_steep,t10y2y,t10y2y_chg_13w,tier_intersection,tier_cb_only,tier_cb_weak,tier_cb_strong,tier_yc_only,spy_ma20,spy_dd_52w,vix3m,vix_contango,hy_oas,hy_oas_ma_26w,hy_oas_chg_4w,credit_ok,tier_nervous_market
2009-11-06,1.0,1.22,0,1,0.06363904699090472,0.20501930872241644,,24.190000534057617,,1,2.68,0.11000000000000032,0,0,0,0,1,75.12091178894043,-0.01616325430065635,25.8799991607666,1,,,,0,0
2009-11-13,1.0,1.22,0,1,0.09278811136833953,0.19128175112516096,,23.360000610351562,35.26480770111084,1,2.61,0.1299999999999999,0,0,0,0,1,75.79872436523438,0.0,25.600000381469727,1,,,,0,0
2009-11-20,1.0,1.22,0,1,0.06779905843088296,0.19173197729320562,,22.190000534057617,34.29403851582454,1,2.61,0.17999999999999972,0,0,0,0,1,76.54464569091797,-0.0017331870197917487,24.65999984741211,1,,,,0,0
2009-11-27,1.0,1.22,0,1,0.06492488134833962,0.18653861738019553,,24.739999771118164,33.70673084259033,1,2.53,0.07999999999999963,0,0,0,0,1,77.36429061889649,-0.0004559984842446019,26.149999618530273,1,,,,0,0
2009-12-04,1.0,1.22,0,1,0.09287460067855746,0.18552733783930664,,21.25,32.96288468287541,1,2.64,0.13000000000000034,0,0,0,0,1,78.00901679992675,0.0,24.760000228881836,1,,,,0,0
2009-12-11,1.0,1.22,0,1,0.06556475459645905,0.18571526675319336,,21.59000015258789,32.33423086313101,1,2.72,0.28000000000000025,0,0,0,0,1,78.51191749572754,0.0,25.1200008392334,1,,,,0,0
2009-12-18,1.0,1.22,0,1,0.03826223562540121,0.1798199531037495,,21.68000030517578,31.887115478515625,1,2.73,0.27,0,0,0,0,1,78.97563171386719,-0.0027598268778831203,24.520000457763672,1,,,,0,0
2009-12-25,1.0,1.22,0,1,0.08267646208978108,0.18011821243467468,,19.469999313354492,31.427307752462532,1,2.82,0.45999999999999996,0,0,0,0,1,79.43575668334961,0.0,22.43000030517578,1,,,,0,0
2010-01-01,1.0,1.22,0,1,0.09317894565009954,0.17645252292239083,,21.68000030517578,31.09057701550997,1,2.71,0.3500000000000001,0,0,0,0,1,79.87215614318848,-0.009246247190888957,23.889999389648438,1,,,,0,0
2010-01-08,1.0,1.4,1,1,0.07390350866713091,0.17285598797409338,0.24191633590917488,18.1299991607666,30.615769312931942,1,2.87,0.4500000000000002,1,0,0,0,0,80.34492149353028,0.0,21.0,1,,,,0,0
2010-01-15,1.0,1.4,1,1,0.04924067077462979,0.1511133548349095,0.23094778470578647,17.90999984741211,30.073461605952335,1,2.81,0.3500000000000001,1,0,0,0,0,80.76770896911621,-0.008117537464034319,21.479999542236328,1,,,,0,0
2010-01-22,1.0,1.4,1,1,0.015895308986344725,0.15650304363531706,0.22018473146018253,27.309999465942383,29.689615433032696,1,2.78,0.3099999999999996,1,0,0,0,0,81.07364997863769,-0.04678390782235342,26.290000915527344,0,,,,0,0
2010-01-29,1.0,1.4,1,1,0.04256620148629642,0.15932410355655396,0.2123680676923609,24.6200008392334,29.300769292391262,1,2.81,0.30000000000000027,1,0,0,0,0,81.21113777160645,-0.06266939348665723,25.3799991607666,1,,,,0,0
2010-02-05,1.0,1.4,1,1,0.0009730026221692611,0.1571007211732937,0.20823439077176717,26.110000610351562,28.968846247746395,1,2.82,0.13999999999999968,1,0,0,0,0,81.23027229309082,-0.069041120615149,26.0,0,,,,0,0
2010-02-12,1.0,1.22,0,1,-0.00910697054844567,0.1574323752544668,0.2047033846574644,22.729999542236328,28.580384694612942,1,2.85,0.2400000000000002,0,0,0,0,1,81.38550491333008,-0.056995687894750846,24.459999084472656,1,,,,0,0
2010-02-19,1.0,1.4,1,1,0.021094132410135025,0.1594475533407347,0.20328172636518022,20.020000457763672,28.01730779501108,1,2.83,0.2200000000000002,1,0,0,0,0,81.72964324951172,-0.029938386672247463,22.309999465942383,1,,,,0,0
2010-02-26,1.0,1.4,1,1,0.01611889138448941,0.1597665952182428,0.20186006807289603,19.5,27.50096167050875,1,2.8,0.27,1,0,0,0,0,81.88132247924804,-0.033429918344029086,21.649999618530273,1,,,,0,0
2010-03-05,1.0,1.4,1,1,0.034727458481039974,0.1628251097013821,0.20170529507916068,17.420000076293945,26.887307790609505,1,2.78,0.13999999999999968,1,0,0,0,0,82.10366134643554,-0.002793332136589388,20.229999542236328,1,,,,0,0
2010-03-12,1.0,1.4,1,1,0.04474504955131131,0.15996685148152145,0.20155052208542537,17.579999923706055,26.410769315866325,1,2.74,0.020000000000000018,1,0,0,0,0,82.40140914916992,0.0,20.270000457763672,1,,,,0,0
2010-03-19,1.0,1.0,1,1,0.05659701960938146,0.15763800827603772,0.201490261860192,16.969999313354492,25.854615468245285,0,2.68,-0.04999999999999982,0,1,1,0,0,82.90429573059082,0.0,19.950000762939453,1,,,,0,0
2010-03-26,1.0,1.0,1,1,0.04071934998146154,0.15326704868957383,0.20145700528310206,17.770000457763672,25.40711545944214,0,2.82,0.0,0,1,1,0,0,83.29725608825683,0.0,20.059999465942383,1,,,,0,0
2010-04-02,1.0,1.4,1,1,0.06142423411169151,0.14943891937900658,0.2014364899254094,17.469999313354492,24.979615431565506,1,2.84,0.1299999999999999,1,0,0,0,0,83.64338874816895,0.0,19.899999618530273,1,,,,0,0
2010-04-09,1.0,1.0,1,1,0.047763968151421254,0.1377992950847975,0.20142616754323459,16.139999389648438,24.58750005868765,0,2.82,-0.050000000000000266,0,1,1,0,0,84.06233253479004,0.0,18.6200008392334,1,,,,0,0
2010-04-16,1.0,1.0,1,1,0.05465976433565545,0.13718903436310453,0.20135828575018203,18.360000610351562,24.28788471221924,0,2.81,0.0,0,1,1,0,0,84.4689281463623,-0.0015895220824481138,20.229999542236328,1,,,,0,0
